text	class	topic
@wigtears imagine being actually born on august 17th. my birthday isnt for another 3 months after lol	0	Birth
@buttneessaa_  thank you baby girl 	0	Birth
Dallas ISD trustees baby girl undergoes successful heart transplantsurgery https://t.co/tBpGF9VBvV https://t.co/AB0nWYnAng	0	Birth
Youre wrong this time I have no remorse baby https://t.co/o5E0Wazmxc	0	Birth
SHUT UP I CANT DEAL WITH THESE ANYMORE MY HEART IS WEAK https://t.co/ynSlZDDABI	0	Birth
youre pregnant ! https://t.co/Y9sCb0Sk1q	0	Birth
Lmaooo my lil sister beat up at 18 y/o bc i was 8 months pregnant &amp; couldn t fight so woke her lil 12 y/o ass up to https://t.co/rJwY6J61G5	0	Birth
RT @BeautyPreggo: Beautiful Zaya Cassidy.If you like #preggos  #follow or #retweet for more.   @LovelyPregnancy  #schwanger #pregnant	0	Birth
Nfs I aint tell nobody until I was like 3 months  bitches be beasting https://t.co/b9ec7rI20M	0	Birth
Zara s new daughter heaviest royal baby - Herald Series https://t.co/F1Rd1NlcAD	0	Birth
184cm girl here. Why you cheat on me with 185cm and want to make 366cm baby and all. Men are trashhhh  Ok we can m https://t.co/aKuAKtgSkF	0	Birth
Baby girl I jus wanna say and idc wtf anybody has to say....your right  about me my life and my future jus wish ti https://t.co/xwGEktJ1q5	0	Birth
but wait... Diyoza was having shots of vodka with Kane while being pregnant?? #the100	0	Birth
RT @toffeelattae: I am soft for  Puppies  Babies  Namjoon being a polite baby boy and went from calling James  Sir James to M	0	Birth
RT @WOLO328852: Its said Jackson will go to Netherlands to record new episodes of let go of baby. He will arrive at AMS airport at 6pm loc	0	Birth
@kitsncw I am so honored to be your wife :) My baby boy  my sun and stars. Thank you for never failing to make me s https://t.co/xrf5dqWA0O	0	Birth
RT @Sinful_Sub80: Training. Relax  baby girl. It will only hurt for a minute. https://t.co/PV1C14yhIm	0	Birth
she s so pretty i can t breathe https://t.co/rceDUpnZOQ	0	Birth
RT @sage_kta: After pregnancy I got more into beer and less liquor. Now I enjoy all types of craft beer haha https://t.co/N1PcEHDj9g	0	Birth
@DOYEONxMN Baby girl?	0	Birth
Among urban residents  34% of blacks  27% of Hispanics report taking public transit daily or weekly  compared with https://t.co/yjCmkZJxjM	0	Birth
I wonder what ma boy wonwoo is doing rn. Hes probably practicing my hardworking baby 	0	Birth
I feel so bad for baby girl  imagine how confused she is with all this https://t.co/knCkpmogZq	0	Birth
RT @THlRIUM: baby boy. baby https://t.co/Fb50vns3WB	0	Birth
idk this girl but shes a nut  https://t.co/yqE5nR2Dq2	0	Birth
nsfw - are there any sadistic doms who want to inflict pain on a baby boy?	0	Birth
Things are starting to shift down  all the way down. like gravity is trying to pull my ass outta my vagina or somet https://t.co/rY4UZOPmM8	0	Birth
RT @Chemsauce: I swear my girl and I have been blessed with a happy  calm  gorgeous baby girl	1	Birth
RT @BeautyPreggo: So beautiful     @hamilesevici #schwanger #pregnant #enceinte #gravida #bigtits #preggo #fetish #belly #nsfw https	0	Birth
RT @dominantone80: My mood baby girl... https://t.co/xAwwcyQxhN	0	Birth
Its a chick bout 6 months pregnant walking around with a shot of henny at magoos 	0	Birth
Ive always felt like the black woman was stronger then the black men..men cant even handle heart brake..cheat on https://t.co/zWmpVVqwsC	0	Birth
RT @MayWardAcesOfc: Finding baby boy @Barber_Edward_ @aimerfilmsinc igs..@mor1019 #MORPinoyBiga10 BMG by Edward Barber https://t.co/FZ	0	Birth
i feel SORRY for them https://t.co/aCIWcioKJR	0	Birth
BIG FUCKING MOOD  https://t.co/QRKUkNWDgJ	0	Birth
thank you ate pat https://t.co/tzgBKpG3BK	0	Birth
RT @QuecianaWalton: The lady at church was praying for me and she put her hands on my stomach and said youre pregnant and I was like I kno	1	Birth
RT @melissa11259: My beautiful baby having a blast! https://t.co/8pI5xyX0FI	0	Birth
RT @softdimplesjoon: YM auThe first time you laugh  a fairy will be born. Everytime you laugh after that  the fairy will gain more streng	0	Birth
Enjoying these nap times with my baby girl until she has babies herself and becomes a busy momma.  https://t.co/ggFNdchRln	0	Birth
Whos mom is this https://t.co/BYroZzAwn6	0	Birth
Tbh I actually HATE being pregnant .	1	Birth
@JappOffJones I feel sorry for that Dad and baby girl.	0	Birth
RT @knittingtopia: Hand knitted baby girl jumper dungarees and hat https://t.co/XP4ohLm6TG #atsocialmedia #tweetuk #purpledognet #etsy #uks	0	Birth
A Pregnant Woman Eating Organic Vs. Eating Conventional: It s Time To Think About Your Baby - It see https://t.co/7K0oxTcbJm	0	Birth
Im pregnant https://t.co/epgwRNO4Qx	1	Birth
RT @nayameeeee: Just imagine how their baby girl will look like... congratulations maaan!!! @JessicaNkosi great job @TK_DEE https://t	0	Birth
@twynk16 Again is it hayden and baby girl finn	0	Birth
Baby girl full moon	0	Birth
@sinfuljenni I love you baby girl	0	Birth
@Gamez11Yesenia I thought this too but now that Im pregnant again Im like nooo get this baby out of me. 	1	Birth
@BTS_twt  this baby boy is why Im forever locked in https://t.co/DD8V1xTeHn	0	Birth
bomin posted while I was busy DJDJ I love my baby boy :(	0	Birth
RT @6ixaah: Whos mom is this https://t.co/BYroZzAwn6	0	Birth
RT @dre85567034: I Cant Take It Anymore I Gotta Cum! Part; #hot #young #preggo #cutie #gorgeous #pregnant #body #yummy #embarazada #pr	0	Birth
@gowongirl I AM IN LOVE W U PRETTIEST GIRL EVER THAHTS MY BABY ?? O FUCKING LOVEBUOU https://t.co/3TwtYBO2Ce	0	Birth
RT @kreepaleeks: Bro niggas dont be having no type of steady income/hustle... but be having baby fever likkahoe wtf  you need to be wanti	0	Birth
RT @DougB36178356: @MsShandaMay My favorite baby girl 	0	Birth
RT @loonasbian: hyejoo is so soft she wants to be called baby wolf shes constantly hanging onto unnie line so she can get babied like i jus	0	Birth
RT @MsKirrKirrBaby: Today is World Sickle Cell Day. 1 out of every 5 Black Babies are born with Sickle Cell Disease. 6 months ago I gave bi	0	Birth
RT @AmidalaLanna: Sold my vid! 41 Weeks Pregnant:Water Breaking Orgasms https://t.co/eh5ZFwxjVg #ManyVids https://t.co/8HAk9i4erZ	0	Birth
I wanna tell my cousin her new baby looks weird without being rude	0	Birth
Hello everyone! I dont usually post about my personal life! I found out recently I am having a baby boy and he is https://t.co/ONTP8tXumJ	1	Birth
getting to brand a speakeasy bar???? my flapper girl dreams are coming trueeeeeeee huhu i love this. this will be my special baby	0	Birth
@kpickarts14 I know this bitch shes pregnant again diff dude and still cheatin . Shes nobody brush it off	0	Birth
@NSFWINTL Baby girl.	0	Birth
RT @Alexander__300: Im not even talking to a Shawty &lt;/3 https://t.co/AmSIU2Nm52	0	Birth
RT @daniecal: @IfuekoNadine @finechocolate19 @AhmadAC_ No shes right  sexually assaulting your gf with a fork  holding her head underwater	0	Birth
I stayed clear of @MARLENEMCCOHEN so I could watch Leo s gender reveal while I m not busy and be surprised and im S https://t.co/upWj7RqscO	0	Birth
@smuterpe hello @smuterpecrew i m lee sungyeol who was born on 1991 line. may i get @smuterpe followback? thx.	0	Birth
Facts https://t.co/NOrdoEdAyq	0	Birth
RT @MichaelJusiah: My baby girl got a haircut  god dam she looking even more beautiful then she already is  @madbiebzz	0	Birth
RT @SpikeReeds: Well would ya look at that https://t.co/sy52LcGQDC	0	Birth
@JustK00K Nah  you re still a baby. Jimin oppa should be having that sexiest man tittle! Or maybe Taehyung oppa?	0	Birth
RT @ImHardlyA1: Im pregnant https://t.co/aWImZp7fMI	1	Birth
my girl gotta chill w all this baby fever 	0	Birth
@MsBoss48536280 How y all photo shopped my pixs for Masika Kalysha n real life n edited my pregnant ass out n put Masika Kalysha instead.	1	Birth
RT @LovelyPregnancy: 7 months pregnant @easygoing_1 and @drgreenthumbxxx having fun.  I am a fan. https://t.co/vi4lvyaAg3Check out the	1	Birth
LRT baby boy. baby	0	Birth
RT @_rebekahgx3: just found out someone called my niece ugly because shes half white half mexican  let me just say my little baby is the c	0	Birth
@SamIPOMB I just got back from seeing it and it  wasn t anything I was expecting. I m just confused at this point in all honesty	0	Birth
its too zamn hot to be this pregnant and apparently my son loving it in the womb. #waiting #39weeks #IMDONE	1	Birth
RT @darkhorseofkc: Whos best pony? This girl! Oh wait shes a baby horse. Lol #wranglerlife #horsebloggers https://t.co/glsYKqqxyy	0	Birth
my ex did the same  he got in a relationship while still being with me to be exact. But  im now engaged to the mos https://t.co/Lg4Vab0ul3	0	Birth
me: why does my foot hurt?google: you re pregnant	0	Birth
RT @daddydom985: *you run past me*Me: little one  come here.*nothing*Me: baby girl come here now.You: yes daddy?*I lean down  and	0	Birth
Are we? https://t.co/E4rh3h32Hh	0	Birth
Praying that our baby girl is a warrior. We would love to see you. Stay strong. 	0	Birth
this girl too much joke... seriuosly wtfGIRL SAYS SHES PREG WITH BABY JESUS https://t.co/tWk9agydLW via @YouTube	0	Birth
I can t wait to have my baby girl laying on my chest while I trip (of course I ll have sitters) the connection that https://t.co/LlBhccxT55	1	Birth
Get a bitch pregnant  bitches love being pregnant https://t.co/zz3k4dBSue	0	Birth
This will always be something I want to do years down the road whenever I get pregnant  https://t.co/AvMn4woLxz	0	Birth
RT @phillyzoo: Meet baby Beau! We are so excited to welcome a new baby #giraffe boy  born to Stella and Gus on Sun 6/10. Standing at 5 feet	0	Birth
She s iconic https://t.co/4CoN79Edyn	0	Birth
RT @WhoSFlyy__: i still havent forgiven jamie lynn spears for getting pregnant and ruining zoey 101. bitch i was almost done filling out m	0	Birth
imma be cardi b pregnant at coachella for halloween this year	0	Birth
Guess Im pregnant asf tonight https://t.co/ylaUyjY0SF	1	Birth
RT @SierraRose160: One of my favorite pastimes is watching my baby boy sleep so peacefully right next to me.	1	Birth
I needed to hear this &amp; thank u baby girl  https://t.co/fNjObtl6R3	0	Birth
halu  baby boy  Hello baby girl  https://t.co/ZlWuocecOO	0	Birth
New super super limited edition baby t-shirts on the 5SOS store ARE. CUTE. AF. https://t.co/HxPsWyj23z https://t.co/11PKsKJ9Rl	0	Birth
Bought some more fish for my tank today. Either these new fish are just really excited to meet their new fish frien https://t.co/jb3yBptqFd	0	Birth
RT @Projeto5HFHelp: Mama Chicken @LaurenJauregui can u pls follow some of your nuggets who RT this??WE CAN T WAIT FOR TOMORROW WE RE SO EX	0	Birth
RT @slayanistonn: baby baby baby i really want to see her new projects omg https://t.co/MhovwQR6Gw	0	Birth
RT @MorgaNicolette: After being in a relationship for a few months and seeing pictures of couples announcing pregnancies and having babies	0	Birth
everyone i went to hs with is literally married or having a baby... &amp; then theres me  single in college	0	Birth
RT @gabe_roll27: Night drives to Canes with my baby girl. 	0	Birth
Lmfaooo i am hollering https://t.co/FnrQzuy6Cc	0	Birth
RT @Doro_Gato: Crochet Baby Hat With Red Heart  Cream Beanie Hat  Crochet Baby Hat  Girl Baby Hat  Newborn Beanie  Baby Shower Gift Girl  H	0	Birth
Yall twitter people are crazy   the world is crazy .... yall are literally still putting dirt on xxx name after h https://t.co/3J0XLHKixz	0	Birth
RT @NicoleM21886834: Im the biggest baby for my girl. And only my girl.	0	Birth
Hey @IvankaTrump  @FLOTUS  @SpeakerRyan @GOPLeader @GOP are you ok with baby jails now? Toddlers in cages? History https://t.co/SCDpzVUf0g	0	Birth
NEW 4Pcs Wall Nanny Indoor Baby Gate Wall Protector Best Dog Pet Child Walk USA https://t.co/6Air2Wspqz https://t.co/C0pPFfM8Yu	0	Birth
RT @xEnoughSaidx: Lol faccccttttts like Im here baby lemme help you  or I could watch https://t.co/AxryGRcabQ	0	Birth
Im 34 weeks pregnant. Today one lady told me I looked miserable. And another told me I look exhausted. Gee thanks.	1	Birth
WAIT I am screaming LMAOOOOOO https://t.co/eJSj1qo8pH	0	Birth
@cozy_azure Thank you! We re very excited for the new baby!	1	Birth
I needa new baby mama!	0	Birth
RT @sbhavasiva: #DrashtiDhami new insta post!!!Damn Gorgeous!!! My Baby Doll #Drashti performance look for #GoldAwards2018 @ZeeTV @drash	0	Birth
Paddy shouts frantically into the phone...My wife is pregnant and her contractions are only two minutes apart! https://t.co/PmUZTlNlnq	1	Birth
divorce only comes because of the hardness of human hearts	0	Divorce
tftenney: rt @tricialovebug:  to get divorced because love has died is like selling your car because it's run out of gas.  #gofilluponth ...	0	Divorce
pat robertson: divorce an option for alzheimers patients spouses (video) - under god - the washington post	0	Divorce
.@hbo's divorce is a new favorite.  love the 70s vibe  terrific acting and writing.  dark dark dark comedy.	0	Divorce
youtube tip: most important thing is to start the title with a keyword  for ex  ct divorce attorney  then the subject http://t.co/mx7u6xdve1	0	Divorce
the divorce rate is down http://bit.ly/lqcx0t	0	Divorce
divorce: postgraduate in school of love.	0	Divorce
i added a video to a @youtube playlist https://t.co/mc1okrquf4 divorced or recently broke up - free training	0	Divorce
divorce is a painful process. avoid financial mistakes that may have life-long consequences. https://t.co/jkeuhsctdg	0	Divorce
divorce or not to divorce....going through a transition in your life?should i leave or stay?how am i going... https://t.co/0r4ijlvjek	0	Divorce
marriage  divorce  remarriage and recommended biblical resources by https://t.co/rlwsckarmo	0	Divorce
why im getting a divorce in 2014: http://t.co/8k86hxvwrk	0	Divorce
have you heard divorce by https://t.co/rbdflit491 on #soundcloud? #np https://t.co/nehkcxh3jr	0	Divorce
@foxnews: kim kardashian says marriage isn't 'ideal' as divorce rumors mount http://t.co/le9tarjc @sessa008 oh no!!!!!!!!	0	Divorce
angelina jolie has reportedly filed for divorce from brad pitt https://t.co/3rqopfghbq	0	Divorce
i'd love to share how this business has saved me financial after divorce. it is always good to have a back up plan ahttps://t.co/ly8qkkecou	1	Divorce
freakish morning - supposed to be on my way to divorce hearing  car is dead. prayers needed  i don't know what's going on :-(	0	Divorce
 you've heard that fame in this country and fame on earth are two quite different things.  - cs lewis  the great divorce	0	Divorce
just finished the great divorce by cs lewis. gosh what a brilliant man. #madrespect	0	Divorce
pearl diver: marriage and divorce http://tinyurl.com/mk76f3	0	Divorce
i don't want a divorce! #umc we can work it out. stay the course. quit trying to define the mind of god. lead with love. #always	0	Divorce
wayne dyer secret divorce - i found this article interesting  let me know what you think i wonder if a marrriage... http://ff.im/-hrjfq	0	Divorce
divorce attorney who hypnotized female clients for sexual pleasure gets 12 years. https://t.co/tpybhrz3gn via @people. wasn't enough time!	0	Divorce
so i hear there's a new barbie coming out   the expecting barbie!  wow! what's next  divorce barbie  that come with half of ken's stuff! smh	0	Divorce
john lennon's ex-wife  cynthia lennon  dead at 75. she died from a short battle with cancer. her only son julian was at her side.	0	Divorce
watching divorce court :( thought marriage was forever & ever?  forever  ever ever. til death type stuff!  #thetruth people play too much.	0	Divorce
divorce is never easy...this video shows a perspective rarely ever shown or talked about. #shareworthy #theblend... https://t.co/u5p0uhgviz	0	Divorce
breaking: expensive engagement rings lead to divorce http://t.co/tf7sypjpxn i agree  upgrade on anniversaries!!	0	Divorce
lecture:  divorce decision: stay or go? wed  nov. 2  2016  6pm-7:30pmgreater enon missionary baptist church1854 https://t.co/fytmk6vluv	0	Divorce
rt @uberfacts the cost of an average wedding is about $20 000 - the cost of an average divorce is also about $20 000. @twillamor	0	Divorce
big day online: microsoft and nbc complete web divorce http://t.co/2kgvftcb	0	Divorce
in a divorce  who gets to keep the family dog?   the indiana lawyer https://t.co/kk1r80shnf	0	Divorce
divorce is not unforgivable sin. #tweetthechurch	0	Divorce
tiger woods ex-wife bulldozes $12 million home   devil ball golf - yahoo! sports http://t.co/kojse2vs	0	Divorce
short video about spousal social security benefits for the divorced. call us if you need help with s/s planning. http://t.co/xyczmtbafp	0	Divorce
divorce announcement sparks social media frenzy for blogger http://t.co/fkbfh3yqsp via @wsjspeakeasy	0	Divorce
declining divorce  rising cake prices: todays business ideas in the news http://t.co/pp4ijymuml	0	Divorce
marriage and divorce an understandable argument for same-sex marriage is that the high rate of divorce has done mo http://t.co/abu2kgtzgq	0	Divorce
two prayers today in the prayer box:prayers for a mom going through a divorce. they hope their https://t.co/asc1snnao0	0	Divorce
we profess love to another in marriage.  over 50% of marriages end in divorce.  by what criteria do we decide to no longer love that person?	0	Divorce
pancakes  divorce  pancakes http://t.co/payxlb0viq	0	Divorce
she lies and says she's in love with him  can't find a better man  #divorcesucks	1	Divorce
divorce separation blues taps into the old mignonette sound and harsh vulnerability @theavettbros do best. well done  sirs.	0	Divorce
divorce  what does god say? tomorrow at christ fellowship. forgiveness is yours in christ. http://t.co/5cj0xfur	0	Divorce
i favorited a @youtube video http://t.co/klhkgvaztn divorce -- clearing the confusion by shane idleman	0	Divorce
 @bcuban: woman sues lawyers 4 not warning her divorce would end marriage  http://t.co/kgn5eityxr  haven't had a client like this... yet!	0	Divorce
been a good month. overcoming divorce  finally. have realized that love  real love  would not have tried to destroy me no matter the sin.	1	Divorce
almost out of divorce hell  https://t.co/16cgh5eji0	1	Divorce
sunday afternoon: divorce 2 by dr. michael g. morrow http://t.co/eba2ozdh3z	0	Divorce
obamacare restrictions lead brooklyn couple to consider divorce  cbs new york http://t.co/k23vrkd1ap http://t.co/bh2zny0r8u	0	Divorce
when you're mad at someone you love be careful what you say because your mind gets mad but your heart still cares  #lostlove #divorcemonth	0	Divorce
separation or divorce rocked your world? checkout impact  monday  7-9pm at @_theridge for 18-24 year olds -  https://t.co/i1irhwrtwl	0	Divorce
been out of the loop for a while dealing with divorce but still making money thank god. http://cashcowus.com/	1	Divorce
watched recording of #bbw!  saw preview of @iamjennifer ex throwing a drink at her & it angered me. i'm rooting for her. divorce is tough!	0	Divorce
sorry! wrong link... have any words of advice for a discouraged #homeschool mom who is in the midst of a divorce? http://on.fb.me/jhsczl	1	Divorce
i will never have the right answers for my daughter  nor will i ever get used to her tears. divorce sucks. just don't do it.	1	Divorce
the world is god's which sets us free to do all things as worship. there is no divorce between the secular and sacred (webber) #lpcth600	0	Divorce
the last 60 days have transformed my life. from down in the dumps  divorced mom to fit  happy  empowered single... https://t.co/25rkleobhb	1	Divorce
relationship problems? possible divorce? want to fix your relationship? get free video help: http://how-to-fix-a-relationship.net/?twitter	0	Divorce
shame on you @startribune and @jpcoolican for dragging up a guy's 30+ year old divorce. https://t.co/iizvgyoexw #mnleg #mndfl #mngop	0	Divorce
also  i love it when celebrities use the term  irreconcilable differences  to explain their divorce. if the... http://t.co/zqzyafmj	0	Divorce
brad and angelina getting a divorce  oh no the world as we know it we end. who gives a big whoop.	0	Divorce
was even a modicum of policy discussed  or was it like when mom and are fighting and you're pretty sure the divorce is your fault? #debate	0	Divorce
jul3blendday185-dt22-24=laws &amp; morality-laws on divorce &amp; life. https://t.co/d7djss1cqp https://t.co/kwj7zbjvnp	0	Divorce
why im getting a divorce in 2014: http://t.co/7rk9vy9bbl	0	Divorce
mom allegedly kills children so husband couldn't get custody after divorce https://t.co/agpcixy64t	0	Divorce
rt @michaelhyatt: very disappointing: pat robertson says divorce okay if spouse has alzheimer's   http://t.co/wypsjhx3 #thisisjustwrong	0	Divorce
the great divorce lawyer #addawordruinachristianbook	0	Divorce
i liked a @youtube video from @frisco_mortgage https://t.co/fzsvoiragc divorce and your texas home - owelty	0	Divorce
@thefactsbook: hallmark manufactures and sells happy divorce cards. okay our society officially sucks #wtheck	0	Divorce
the common knowledge of divorce rates is wrong.  //via @tgc -  divorce rate among christians http://t.co/pqdkoegglg	0	Divorce
business majors  children of divorce and the religious are the biggest liars: quartz http://t.co/upcmdo6eag via @huffpostbiz	0	Divorce
enjoy this week's blog by jennifer on forensics in a divorce.#lamonacalaw divorce by data https://t.co/ubb9obyjra	0	Divorce
divorce law in ohio: an overview . . . http://t.co/oos8ilj88u	0	Divorce
guide for selling a home during a divorce - https://t.co/ha90msvzql	0	Divorce
been married been divorced fell in love gone on a blind date skipped school watched someone give birth... https://t.co/inf7sxrlrk	1	Divorce
casualties of divorce https://t.co/ybnvvmnkcm	0	Divorce
niether divorce or death end a family  they just changes the type of relationships in the family.	0	Divorce
upon learning that heidi klum and seal divorced (like  4 years ago):  i don't even know what love is anymore.  - @andycisler	0	Divorce
divorce is rampant. when couples do what feels good instead of what is good  they exchange the truth of god for a lie. @timewarpwife	0	Divorce
